video_id,count
2303,22
1193,54854
1219,1788779
1472,234
2947,14407
1417,973996
1564,42
2962,278000
2057,1134427
1785,1059824
1054,3270
906,153
2489,543454
700,1461221
1953,2324391
1564,40
2617,214966
1566,213
2192,1283989
2258,1866542
1931,8390
1898,106526
2084,350199
2662,102
745,315911
2589,1741476
776,2114835
206,302087
2222,3035
1755,237409
2300,175
2294,1945667
1108,334601
2194,673916
1944,620319
2472,938703
2929,109905
1617,29
1788,68468
670,18376
2446,406771
1370,2248294
2636,449790
1564,39
118,65303
436,1586389
2823,116423
319,588476
877,69180
2698,49513
2285,1099
786,304891
2641,29655
1068,589586
1781,281
57,174
1940,313786
2732,1014302
909,87414
445,58063
1886,74046
2872,15571
1164,353377
2570,1688524
898,913
2528,2177502
880,155550
2027,175597
514,2572379
2641,1542
1229,92617
1097,2161865
2866,1402251
1811,218
453,2257186
493,1681009
2885,2129782
1863,141
550,55689
2133,357797
1975,1097556
1157,632388
2458,136852
1435,39285
2553,937
1462,71
461,1348403
1679,540627
2584,777712
731,745468
1257,2096811
2169,6717
1988,41480
602,127670
630,374692
1495,295665
1074,29326
869,30390
2997,1577356
1715,15821
1418,1511860
2976,40456
2826,329915
407,1472272
1608,234
987,1784502
2260,199
782,905816
1330,2767
1731,65278
522,245764
2394,334189
1545,1963652
2267,65933
1181,32551
464,19018
2994,236
2735,7876
1452,130965
1925,289876
1770,155
1562,110651
827,534343
780,1509735
2470,37299
2114,42192
807,2503458
172,335370
2367,2975980
156,89
970,307
648,105800
2630,241240
2241,133547
332,204120
1898,51066
2591,156633
2889,1801951
876,14197
1121,1668548
2890,168398
1897,1922632
973,1789522
1600,601322
1918,185856
2842,17678
860,279167
2903,474706
524,160480
1692,2296722
2618,442283
881,569
1350,218703
1407,10495
1326,483193
2528,2157449
2552,118613
1006,447751
1044,125
1029,334769
1709,410881
788,196060
2147,1252106
2379,1274193
1061,107563
2015,2127136
2329,1620
1681,225
1241,9938
1121,1568347
447,57352
495,1765230
2121,171
1441,390191
1387,2369396
1595,1243831
1089,137237
1859,302560
2183,855878
2622,136791
2299,3359
2228,1981606
989,2612006
2800,95
771,267032
1251,3046038
14,1726773
1209,664841
1285,54766
92,7
2854,100113
1785,896255
714,67675
2290,190128
602,128962
1044,148
1915,139
1293,793011
2401,14138
2999,1076
2873,141302
1450,69507
2354,88828
2338,25519
2270,382810
2487,53090
673,1849093
33,297
1095,483242
2215,998174
1257,1862311
522,720035
2221,398588
556,34724
654,1895718
2605,146900
2746,2837384
881,2185
2432,140538
2814,9373
2313,32
613,126216
653,140
2856,145
564,193
1102,93997
1033,3008855
2362,133538
1638,1244622
1581,608733
2679,282277
2175,832884
615,104
2740,1465146
1818,3394931
371,163185
1162,27261
1906,154719
1128,605660
2820,709286
926,7562
1215,58
629,330353
434,445932
2630,76556
486,16543
682,471863
484,204
1827,1452890
932,79182
1610,2557646
693,423363
2139,71824
1016,1594032
46,2031008
832,246185
2539,454449
134,2866423
32,2657402
1298,3257
303,4491
2130,1970
940,258242
2808,498430
583,76
2955,2314624
391,2615624
2742,249395
1418,1044584
2824,624137
867,183578
1717,1382259
2929,53966
2446,422927
2254,53145
2638,432854
555,588119
1394,393342
2127,858137
169,360
2683,145315
745,311634
2506,154277
1017,46347
1986,761359
1694,416069
2853,573414
2273,81402
2133,583213
1621,991
685,15731
485,4895
2205,49898
2004,124649
1387,2031455
2840,1398
1019,1130192
2662,86
361,696
1128,577557
2768,1738602
2350,225765
363,2363052
1334,579838
779,1897218
2849,562022
616,39539
2945,306074
1137,907807
847,969229
2407,5867
983,8098
2756,269929
1522,1664853
2648,91036
552,382529
2915,1931487
2151,12256
2209,173675
2606,2351856
1138,28757
797,150
797,98
2797,22
2736,207677
590,3669399
1840,2391271
1978,22906
2668,301138
2200,67790
1939,18303
181,1999464
1722,298837
1778,462037
753,195610
216,85
856,941388
114,408
2356,294035
2045,240
1300,2956592
1986,104026
1585,238904
567,428
816,87994
2644,27207
168,134
680,767035
129,122788
1585,997910
2186,22627
915,1889193
1095,142169
2628,3841157
436,2135908
2988,184114
951,458136
2855,151
958,3232791
2541,1610374
1706,59706
1677,36632
2433,243368
2930,102932
1507,47925
1152,3560052
593,990
1814,154
2526,6804
1191,244782
2990,376496
2905,4624117
709,324471
330,179797
1638,1330405
2323,53
2685,236
1260,854545
712,419007
875,1326881
970,279
1330,140
2272,211867
253,399525
2199,1213
889,58147
2209,412155
2103,140
2851,42060
2225,3968644
2982,1831209
1954,580687
910,52994
915,1639321
366,31967
720,243941
1658,45172
1603,2096513
1605,64
143,295366
2919,1315458
710,21248
1510,2104139
791,208315
51,79
2274,717502
1206,57052
663,24751
1115,2012
2751,3299120
1847,31
345,110440
1676,19
419,2157572
569,112948
312,2409315
824,217469
43,123906
1142,1796011
1903,72
1167,2343895
1923,538469
2983,208
2299,4525
1960,270282
55,218349
1565,197
766,30
2930,82994
1551,192620
1341,49
2428,158
121,233
2471,1353
163,2590615
44,125
769,9621
1303,519524
879,45
2282,3052414
2191,96530
2773,2182109
1125,189146
784,2666662
1221,235
2984,785
1551,156650
2589,1881038
124,474269
1612,50
2281,1621024
441,1507515
2743,2005150
1278,516888
684,44029
813,178158
1173,71099
453,2471839
2351,74
400,56
228,18615
1315,1902758
425,217
1246,141
442,127
1498,43192
1327,44
2971,3532115
2559,77953
988,61
1861,169018
62,1786476
2785,44218
1013,251746
634,46593
1788,29398
1372,1769174
2906,782166
2186,25124
1846,147459
772,84
2317,31099
988,58
499,2048373
2909,88
1718,639893
2942,67
2505,586465
1901,2001188
221,1147682
1728,573413
1908,161
2794,301611
615,122
417,49369
179,4081337
614,129828
2767,1795438
537,217
2216,372651
1887,1124177
2922,2121403
621,108781
2923,1235018
2268,1800696
1505,696298
2877,141
2996,205801
1067,15681
28,16276
2769,549855
1103,915406
252,39
2472,934068
1066,1289
196,29500
2389,526
753,242917
420,1832515
1627,3354
576,277
2866,1193285
567,444
1309,6119
514,2554054
551,352406
1143,245298
643,311
612,162
701,897
2371,23846
1844,17376
1851,4113
1261,2572217
2662,136
8,2110295
2307,621332
1298,5776
2441,231
1223,333119
303,12438
1846,61083
1174,99
1725,2872320
852,5671
906,173
494,2305
1714,261662
1823,797741
1087,226469
37,1654042
2741,673597
1163,3309417
1415,481642
1789,12767
331,2849926
1047,1797601
1891,9589
406,88947
1777,1547440
309,23224
468,80208
2823,132299
2809,97407
1187,573
1557,155986
2669,1772341
1093,91587
2375,257
694,457076
1100,1138241
2886,52259
413,44846
2382,452495
1544,74468
2190,6604
886,173269
1157,802864
395,428728
2320,556385
955,421
1683,10528
2308,84
1621,18150
2336,1188
2273,64923
1165,144
2012,240
1640,184588
450,842174
1927,37614
1054,2548
249,287
1563,9626
144,2599538
1346,174
335,1156922
1986,283085
2567,25301
2303,21
466,2735146
714,233942
1418,1328462
2836,90165
2695,106274
2726,228705
640,184
342,9743
321,59863
1840,2043790
2204,685582
2072,215
2494,2362933
1065,586502
1871,724610
2326,604989
1377,5761
2563,614653
2924,4068
2569,113029
993,1604691
137,30603
1613,2885436
999,263734
1265,2279778
1628,859236
616,23311
2292,2912423
132,1794518
451,140
1065,173479
1546,1670330
818,2750499
1769,16031
2863,215
2612,185
1589,1896650
2302,28825
135,35341
2738,3064925
2048,181
2154,556825
1486,649777
1992,100882
2509,37816
6,118150
1108,121231
1734,2092990
2231,104185
2966,149220
839,213574
31,751718
2414,290
1389,488341
1961,71054
2956,1078954
442,122
574,57148
2533,96158
114,2545
2314,299202
2636,979286
2383,461509
1414,316
2325,7
2255,6456
1116,855981
2749,177
2629,638480
323,3635
2784,22465
1282,1814154
1823,1540970
1732,48158
2976,43413
2417,713
2564,2430701
2265,36541
517,357263
163,677787
2656,6
2366,49829
379,1035913
2590,522408
681,73
914,130800
1295,894276
1325,295
1510,2276720
105,1188
2828,111125
2712,578328
1778,447154
752,700
1201,185
996,669938
2650,1037
343,204683
867,169573
2187,207
1513,2373334
423,801642
1135,1837997
191,2799
1758,959027
2239,6487
726,88618
542,711800
1296,91216
976,1226709
2720,2090320
207,3071971
2046,752286
244,2831096
1865,841179
1554,59089
369,1631316
38,109
2984,5818
2106,1165792
1180,123044
863,779130
594,204
92,12
2441,298
851,2700125
782,621898
1805,183
1539,1772598
656,132
2496,43846
1064,108
1106,273903
31,734595
1283,2658402
2203,135264
613,107918
54,1951769
2583,3435
15,1245
251,262416
1259,226215
1302,120778
1618,1806681
1456,32905
2320,745813
322,88269
630,802793
1949,2425306
1469,1670543
614,167459
494,1543
585,47
2038,2933
49,160766
2875,1985887
2927,146736
220,1067559
2827,1074938
2999,774
2725,185490
2027,549422
2465,1913303
1670,3090402
360,1415223
1081,10470
713,15785
2666,208
411,1240964
1405,74129
2744,1103437
1065,28418
2399,1034875
530,2613761
2345,690404
2404,469289
1629,60859
2344,3277317
2063,478828
2877,134
2518,189872
202,67936
1390,43379
273,179316
1853,1223955
210,1175
1188,1764807
65,858409
2145,1224118
2166,53
656,120
1362,352003
291,19502
819,156613
2257,230079
2505,185998
795,27963
2053,2854975
20,791964
2763,237331
2278,834940
2721,442250
1431,2502564
979,126307
2190,5953
683,2123894
1851,1196
186,12270
1667,53
2950,148598
2517,103440
2618,225622
2054,257
1895,2298539
1935,136157
1378,101778
2148,18952
203,1193915
326,2140356
1265,2621122
1261,2786970
1415,460774
2765,242
1262,83482
92,16
186,7092
2508,487232
1189,1047
624,796324
2858,73524
432,281
1762,334685
2899,1635063
2048,146
1558,339473
2836,946124
253,305106
99,376824
587,2823284
1451,58978
55,191904
1356,290
2869,67474
1270,292
1162,18185
362,4760
1923,98797
2086,24253
1833,654053
2673,844054
983,8409
36,2996809
1830,1890792
2665,1984190
1415,465732
2870,5386
676,255635
1175,2024439
761,720
1160,78
560,198
353,12690
1632,98613
157,14760
1010,634
934,1232
2564,2397465
2840,469
1595,1168460
1349,1209932
1400,298
82,785
1749,223884
2590,26419
953,2034756
1232,870
2420,49545
1711,938836
673,2003839
365,312281
52,2456390
469,415515
1703,98098
2591,149072
803,148
2486,1059124
1550,363171
635,365476
437,3487063
695,1183077
2897,2680
1363,162056
864,106
762,136
1949,2487576
415,2215739
97,158298
1916,63438
2740,1532293
1243,78
50,296
549,785611
202,84827
1110,193
634,31374
1718,100956
377,1099068
164,84437
2549,1971
590,4226452
724,2408461
2103,83
2309,291841
556,45750
43,208652
2691,1337113
1116,1143255
1651,1070
1706,3010
2286,95781
2635,36643
1948,305737
1529,676362
1851,4138
2708,377414
1770,143
1606,389787
1551,377393
910,46256
1687,200
2363,225
850,300232
317,3309
2178,309893
2037,1170422
129,121294
218,354130
24,108627
39,672074
2876,1130467
69,336626
486,50876
1315,1767625
2088,139928
995,52288
951,482773
2212,2256
646,395717
988,57
2400,122599
2084,200633
580,229836
1641,277
1472,205
2918,1209955
393,1225
202,70551
1599,1774
1289,610
721,908654
1823,1275879
1212,69083
2182,2013038
2084,538992
2582,111631
1381,1553871
1520,330883
1799,2286989
2790,101467
190,99427
1760,230332
343,1623
1910,339309
1305,2598711
650,207
2355,3541547
1366,458288
2415,303606
2463,95003
1695,25376
1387,2256099
1585,899932
357,1388723
829,280
2579,35794
1657,1459922
2088,63852
1739,17167
2290,115379
31,671191
2106,1500871
1460,1898607
2013,94794
807,3136927
2841,511001
2031,496400
60,50771
2192,645399
2265,26138
2801,7267
2788,186
563,116
825,2040953
2227,93844
2918,313420
598,560158
2761,1109843
1250,61186
149,250297
878,2245172
560,188
2190,95771
2709,203
2649,80700
50,346
56,1024421
2995,419574
1285,138787
2752,184474
108,263638
1226,54525
904,15336
2288,631694
1701,456507
1277,1068274
962,1805743
2328,57673
1454,348
979,90060
804,54642
2355,2612919
2887,555838
1729,44
311,2551426
460,25073
1330,939
2717,730502
558,798
2652,278131
2913,2308645
2979,76015
2934,11642
1056,202687
1428,123474
2096,131606
188,1683008
281,1261515
345,268749
2909,58
1641,238
2630,253898
974,170
1602,152
1829,1327204
780,1183478
2899,445601
1280,315442
911,547
641,526578
868,2532033
2998,33
1519,73
800,8793
1492,369311
708,1003718
2193,90
305,294576
162,106801
719,3296351
2344,3386720
2609,95117
2357,580155
2169,501
1243,71
68,158
2564,2288372
2526,120196
1007,225
974,193
166,9425
2072,204
594,231
2376,3044922
51,75
8,1776574
2817,5272
1494,1655899
1530,67537
961,244836
1728,471956
1342,2625631
2489,545166
1696,560635
1609,1037501
1466,211342
1076,2933284
2246,41
1550,16241
482,159
2634,910183
892,222
229,2427184
1886,14236
1559,155836
2537,129
207,3001168
2937,41192
1948,1791201
2164,234767
2182,1904036
688,1055
2311,1198449
2923,1059477
1587,740255
2456,165
2086,690146
2312,51653
33,281
2815,193
477,589328
2643,1288960
1198,343172
2717,529542
883,370
64,6655
131,296385
1964,1749122
958,3376194
1333,435218
524,518199
44,133
2189,112136
154,11623
786,3036
484,175
2887,708470
1279,3262025
1624,251
749,2654
1704,44148
1639,68416
2953,1054
2966,100728
2018,829961
201,103
230,39822
2025,104
1244,72770
578,528600
1630,423544
1686,34713
1629,63871
44,125
208,41575
680,920708
295,864885
1740,900148
1303,654858
1394,338952
626,1690891
1350,220585
2908,5852
1994,4279
2623,49644
640,192
85,607492
2027,236486
1313,2818893
2064,174
915,1998193
2993,368099
273,221880
2848,496848
845,1409835
2484,93809
2497,99
65,277321
1078,624350
1007,284
2424,42
1287,1234420
1145,40295
2484,227648
659,246071
2150,2302464
1756,81154
115,9472
1174,102
1878,385135
1883,209
2025,1419
280,233714
1100,994740
1165,132
1130,2691219
328,15681
2353,29
1346,194
196,133079
855,87202
1937,3242845
2151,53156
1536,17
1458,532936
1294,1368880
1403,669951
1890,292386
2905,3989991
253,611048
1278,426076
2955,2583337
1593,229357
22,228
2272,146801
635,435734
2941,131324
594,286
379,1104930
1189,2485
2670,2551486
95,2533480
489,8579
2952,3487718
611,1995
1464,12824
2572,293428
2128,176714
1306,217
891,3997251
1137,872499
2195,1438725
410,330347
1351,81625
1685,1764489
1364,154346
739,36
1106,151856
1530,73514
1198,584492
